	BernouliNB	K-nearest neighbors	MultinomialNB	My Method	Random Forests	SVC(SVM)
accuracy	0.9572780842965616	0.9253179750721682	0.9572780842965616	0.9290684251894497	0.9572780842965616	0.9572780842965616
roc_business	0.9632559982630454	0.9766501082777019	0.9688817779914849	0.9703958914103996	0.9894691881454258	0.9895959570473961
roc_film	0.9848991477857361	0.99480001776239	0.9928894432129365	0.9913410106154352	0.9980337629379006	0.9978056108683472
roc_football	0.988641178809042	0.9953614171382084	0.9952761429388508	0.9943025515442254	0.9992244694754234	0.9993068625219941
roc_politics	0.969618306972366	0.9787556119092932	0.9739084811205757	0.9706975888157816	0.9932955868612708	0.9928225028579629
roc_technology	0.933313276679838	0.970301180489799	0.9714309703314479	0.9633502503442049	0.9931898018801114	0.9924644962760449
